kanaal	counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	4
46	217
47	451
48	437
49	432
50	427
51	431
52	405
53	382
54	353
55	317
56	378
57	355
58	346
59	345
60	321
61	306
62	340
63	335
64	299
65	294
66	299
67	281
68	277
69	276
70	275
71	284
72	274
73	261
74	237
75	295
76	224
77	282
78	244
79	222
80	221
81	227
82	206
83	247
84	243
85	224
86	197
87	245
88	222
89	236
90	223
91	185
92	219
93	190
94	175
95	203
96	182
97	208
98	204
99	201
100	213
101	192
102	188
103	166
104	178
105	181
106	168
107	187
108	158
109	173
110	174
111	174
112	171
113	165
114	198
115	135
116	156
117	160
118	138
119	144
120	159
121	150
122	169
123	153
124	153
125	140
126	145
127	148
128	141
129	163
130	160
131	133
132	148
133	154
134	142
135	145
136	150
137	144
138	158
139	170
140	123
141	159
142	161
143	164
144	192
145	164
146	141
147	138
148	168
149	168
150	189
151	150
152	152
153	192
154	183
155	192
156	213
157	181
158	185
159	211
160	251
161	240
162	274
163	309
164	288
165	320
166	369
167	450
168	444
169	533
170	660
171	1238
172	6509
173	18772
174	17432
175	5092
176	660
177	144
178	117
179	95
180	68
181	43
182	53
183	30
184	35
185	31
186	33
187	25
188	18
189	28
190	26
191	19
192	27
193	14
194	29
195	30
196	17
197	28
198	9
199	11
200	16
201	17
202	15
203	19
204	20
205	12
206	13
207	19
208	13
209	24
210	11
211	12
212	16
213	21
214	18
215	10
216	15
217	11
218	10
219	16
220	10
221	13
222	14
223	12
224	10
225	6
226	8
227	14
228	9
229	10
230	15
231	12
232	10
233	15
234	11
235	13
236	18
237	12
238	15
239	12
240	13
241	8
242	10
243	12
244	7
245	19
246	6
247	14
248	11
249	18
250	11
251	9
252	9
253	6
254	7
255	11
256	11
257	13
258	14
259	13
260	9
261	8
262	8
263	9
264	7
265	15
266	7
267	10
268	13
269	11
270	7
271	16
272	7
273	15
274	7
275	13
276	11
277	11
278	9
