kanaal	counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	3
45	7
46	224
47	375
48	321
49	319
50	286
51	354
52	314
53	321
54	343
55	315
56	314
57	320
58	296
59	309
60	293
61	304
62	304
63	280
64	279
65	296
66	297
67	288
68	273
69	281
70	293
71	287
72	266
73	286
74	267
75	250
76	257
77	277
78	250
79	277
80	267
81	284
82	268
83	265
84	280
85	249
86	274
87	240
88	239
89	234
90	240
91	276
92	243
93	256
94	238
95	239
96	233
97	252
98	204
99	250
100	231
101	250
102	238
103	255
104	236
105	240
106	216
107	225
108	253
109	238
110	261
111	226
112	228
113	244
114	240
115	196
116	201
117	214
118	215
119	229
120	224
121	245
122	222
123	238
124	216
125	232
126	232
127	230
128	208
129	199
130	227
131	228
132	222
133	200
134	215
135	205
136	209
137	241
138	221
139	204
140	187
141	210
142	204
143	228
144	227
145	194
146	192
147	241
148	221
149	221
150	180
151	205
152	188
153	211
154	218
155	262
156	222
157	223
158	204
159	203
160	220
161	201
162	210
163	198
164	197
165	211
166	198
167	183
168	229
169	215
170	216
171	197
172	221
173	228
174	215
175	227
176	190
177	236
178	206
179	200
180	200
181	229
182	193
183	234
184	230
185	193
186	234
187	209
188	186
189	224
190	230
191	215
192	231
193	225
194	241
195	240
196	230
197	228
198	235
199	233
200	223
201	225
202	211
203	238
204	220
205	242
206	213
207	202
208	226
209	237
210	225
211	257
212	244
213	263
214	214
215	268
216	251
217	272
218	276
219	298
220	281
221	297
222	286
223	281
224	294
225	321
226	316
227	321
228	327
229	341
230	390
231	500
232	905
233	1071
234	852
235	1920
236	7111
237	10042
238	5070
239	933
240	226
241	186
242	179
243	203
244	177
245	162
246	185
247	193
248	198
249	177
250	168
251	181
252	175
253	163
254	190
255	177
256	181
257	181
258	177
259	162
260	175
261	162
262	178
263	175
264	187
265	159
266	160
267	157
268	169
269	175
270	177
271	157
272	155
273	166
274	154
275	179
276	145
277	182
278	184
