kanaal	counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	45
47	78
48	101
49	71
50	80
51	97
52	70
53	67
54	88
55	70
56	86
57	91
58	74
59	76
60	79
61	79
62	100
63	69
64	67
65	79
66	63
67	72
68	75
69	69
70	74
71	88
72	66
73	65
74	65
75	60
76	77
77	62
78	68
79	74
80	61
81	63
82	57
83	59
84	59
85	75
86	58
87	60
88	67
89	59
90	69
91	58
92	72
93	58
94	50
95	58
96	51
97	59
98	50
99	58
100	78
101	55
102	67
103	44
104	48
105	61
106	67
107	48
108	41
109	61
110	62
111	47
112	45
113	37
114	73
115	53
116	65
117	50
118	61
119	41
120	57
121	46
122	51
123	54
124	58
125	45
126	46
127	37
128	64
129	51
130	61
131	57
132	51
133	48
134	57
135	55
136	57
137	54
138	49
139	64
140	39
141	66
142	58
143	50
144	46
145	48
146	52
147	53
148	55
149	53
150	54
151	38
152	55
153	56
154	59
155	47
156	58
157	38
158	47
159	39
160	55
161	55
162	47
163	51
164	46
165	52
166	37
167	51
168	58
169	49
170	50
171	41
172	38
173	51
174	25
175	50
176	45
177	53
178	47
179	40
180	46
181	34
182	34
183	47
184	46
185	43
186	57
187	37
188	43
189	57
190	42
191	43
192	52
193	55
194	50
195	60
196	44
197	40
198	46
199	52
200	39
201	41
202	44
203	47
204	39
205	40
206	43
207	48
208	40
209	42
210	62
211	47
212	39
213	53
214	45
215	43
216	52
217	54
218	54
219	42
220	51
221	53
222	23
223	42
224	46
225	48
226	52
227	39
228	50
229	47
230	34
231	41
232	57
233	39
234	43
235	41
236	37
237	40
238	43
239	44
240	43
241	42
242	41
243	41
244	55
245	44
246	40
247	49
248	48
249	51
250	49
251	47
252	39
253	39
254	42
255	43
256	50
257	41
258	45
259	37
260	44
261	42
262	39
263	32
264	41
265	43
266	48
267	47
268	47
269	59
270	43
271	55
272	29
273	32
274	43
275	56
276	37
277	29
278	49
279	57
