kanaal	counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	3
46	29
47	71
48	77
49	80
50	71
51	77
52	68
53	80
54	64
55	66
56	81
57	75
58	72
59	84
60	61
61	61
62	64
63	79
64	71
65	64
66	72
67	73
68	61
69	73
70	64
71	68
72	64
73	66
74	65
75	73
76	59
77	58
78	54
79	66
80	56
81	58
82	67
83	53
84	61
85	58
86	56
87	62
88	67
89	61
90	72
91	63
92	73
93	64
94	47
95	56
96	72
97	46
98	59
99	54
100	57
101	63
102	59
103	54
104	49
105	63
106	67
107	50
108	53
109	61
110	51
111	43
112	59
113	53
114	55
115	54
116	53
117	66
118	58
119	54
120	43
121	52
122	52
123	55
124	52
125	54
126	39
127	61
128	58
129	43
130	68
131	50
132	47
133	60
134	49
135	53
136	51
137	60
138	52
139	53
140	57
141	54
142	67
143	54
144	47
145	55
146	56
147	54
148	52
149	40
150	50
151	48
152	50
153	55
154	64
155	57
156	60
157	43
158	52
159	50
160	56
161	43
162	51
163	54
164	55
165	38
166	51
167	62
168	48
169	48
170	57
171	52
172	68
173	39
174	40
175	44
176	47
177	56
178	45
179	45
180	51
181	58
182	41
183	35
184	49
185	40
186	44
187	61
188	56
189	46
190	47
191	48
192	57
193	51
194	53
195	59
196	54
197	62
198	70
199	51
200	59
201	53
202	43
203	53
204	57
205	41
206	55
207	51
208	61
209	48
210	53
211	52
212	50
213	40
214	43
215	49
216	55
217	48
218	38
219	54
220	51
221	52
222	43
223	49
224	44
225	51
226	48
227	46
228	51
229	49
230	48
231	38
232	26
233	47
234	47
235	44
236	38
237	49
238	34
239	53
240	61
241	53
242	42
243	38
244	54
245	38
246	45
247	45
248	52
249	46
250	50
251	39
252	48
253	47
254	52
255	49
256	51
257	41
258	40
259	50
260	47
261	41
262	46
263	50
264	46
265	60
266	45
267	41
268	42
269	35
270	54
271	53
272	48
273	61
274	39
275	52
276	50
277	47
278	42
279	43
